Date,VaccineText,AdditionalDose,ImmunoDose,AdditionalDoseCum,ImmunoDoseCum,PerBoosterDose,ObjectId
26/09/2021,Mon 27 Sep 2021,257,47,257,47,0.006455851,1
27/09/2021,Tue 28 Sep 2021,508,18,765,65,0.017626171,2
28/09/2021,Wed 29 Sep 2021,650,27,1415,92,0.03200318,3
29/09/2021,Thu 30 Sep 2021,1586,157,3001,249,0.069018139,4
30/09/2021,Fri 01 Oct 2021,2497,254,5498,503,0.12743934,5
01/10/2021,Sat 02 Oct 2021,1025,230,6523,733,0.15409096,6
02/10/2021,Sun 03 Oct 2021,34,1164,6557,1897,0.179532108,7
03/10/2021,Mon 04 Oct 2021,4300,544,10857,2441,0.28240099,8
04/10/2021,Tue 05 Oct 2021,8298,466,19155,2907,0.468516367,9
05/10/2021,Wed 06 Oct 2021,10815,1584,29970,4491,0.731825878,10
06/10/2021,Thu 07 Oct 2021,10626,1370,40596,5861,0.98657714,11
07/10/2021,Fri 08 Oct 2021,10742,1649,51338,7510,1.24971676,12
08/10/2021,Sat 09 Oct 2021,4913,1641,56251,9151,1.388899802,13
09/10/2021,Sun 10 Oct 2021,737,572,56988,9723,1.416698185,14
10/10/2021,Mon 11 Oct 2021,5672,1009,62660,10732,1.558578243,15
11/10/2021,Tue 12 Oct 2021,9597,1041,72257,11773,1.784469305,16
12/10/2021,Wed 13 Oct 2021,10765,1230,83022,13003,2.03919933,17
13/10/2021,Thu 14 Oct 2021,12473,1780,95495,14783,2.341881035,18
14/10/2021,Fri 15 Oct 2021,8427,2639,103922,17422,2.576882491,19
15/10/2021,Sat 16 Oct 2021,4990,2900,108912,20322,2.744437297,20
16/10/2021,Sun 17 Oct 2021,568,1124,109480,21446,2.780369202,21
17/10/2021,Mon 18 Oct 2021,3919,1106,113399,22552,2.887081864,22
18/10/2021,Tue 19 Oct 2021,7683,2354,121082,24906,3.100231115,23
19/10/2021,Wed 20 Oct 2021,7518,2478,128600,27384,3.312509676,24
20/10/2021,Thu 21 Oct 2021,8234,3107,136834,30491,3.553329892,25
21/10/2021,Fri 22 Oct 2021,5032,3078,141866,33569,3.725556695,26
22/10/2021,Sat 23 Oct 2021,694,748,142560,34317,3.756179513,27
23/10/2021,Sun 24 Oct 2021,93,1278,142653,35595,3.785294549,28
24/10/2021,Mon 25 Oct 2021,80,450,142733,36045,3.796549815,29
25/10/2021,Tue 26 Oct 2021,2704,1827,145437,37872,3.89277172,30
26/10/2021,Wed 27 Oct 2021,4029,3343,149466,41215,4.049326096,31
27/10/2021,Thu 28 Oct 2021,4298,3159,153764,44374,4.207685563,32
28/10/2021,Fri 29 Oct 2021,3524,3196,157288,47570,4.350393839,33
29/10/2021,Sat 30 Oct 2021,1180,996,158468,48566,4.396604138,34
30/10/2021,Sun 31 Oct 2021,167,816,158635,49382,4.41747947,35
01/11/2021,Mon 01 Nov 2021,2602,276,161237,49658,4.478597687,36
02/11/2021,Tue 02 Nov 2021,5559,2835,166796,52493,4.656855614,37
03/11/2021,Wed 03 Nov 2021,6371,2259,173167,54752,4.84012532,38
04/11/2021,Thu 04 Nov 2021,10144,2107,183311,56859,5.100291851,39
05/11/2021,Fri 05 Nov 2021,12921,1421,196232,58280,5.404863591,40
06/11/2021,Sat 06 Nov 2021,9884,1487,206116,59767,5.646342134,41
07/11/2021,Sun 07 Nov 2021,10707,545,216823,60312,5.885293551,42
08/11/2021,Mon 08 Nov 2021,14264,507,231087,60819,6.198975686,43
09/11/2021,Tue 09 Nov 2021,22338,981,253425,61800,6.694186146,44
10/11/2021,Wed 10 Nov 2021,25827,1144,279252,62944,7.266951758,45
11/11/2021,Thu 11 Nov 2021,28727,1377,307979,64321,7.906250856,46
12/11/2021,Fri 12 Nov 2021,24894,1285,332873,65606,8.462197278,47
13/11/2021,Sat 13 Nov 2021,19098,912,351971,66518,8.887136654,48
14/11/2021,Sun 14 Nov 2021,8915,282,360886,66800,9.08244737,49
15/11/2021,Mon 15 Nov 2021,14402,564,375288,67364,9.400270594,50
16/11/2021,Tue 16 Nov 2021,26833,1431,402121,68795,10.00049481,51
17/11/2021,Wed 17 Nov 2021,31408,2002,433529,70797,10.71000128,52
18/11/2021,Thu 18 Nov 2021,35979,2287,469508,73084,11.52263147,53
19/11/2021,Fri 19 Nov 2021,29150,2378,498658,75462,12.19217113,54
20/11/2021,Sat 20 Nov 2021,19989,1258,518647,76720,12.64337988,55
21/11/2021,Sun 21 Nov 2021,12891,348,531538,77068,12.92452792,56
22/11/2021,Mon 22 Nov 2021,15312,1245,546850,78313,13.27613818,57
23/11/2021,Tue 23 Nov 2021,30030,3153,576880,81466,13.98080276,58
24/11/2021,Wed 24 Nov 2021,33527,2024,610407,83490,14.73577626,59
25/11/2021,Thu 25 Nov 2021,38609,2166,649016,85656,15.60168846,60
26/11/2021,Fri 26 Nov 2021,33508,2450,682524,88106,16.36530515,61
27/11/2021,Sat 27 Nov 2021,23338,1179,705862,89285,16.88595676,62
