Date,VaccineText,Dose1,Dose2,SingleDose,Dose1Cum,Dose2Cum,SingleDoseCum,PartiallyVacc,FullyVacc,PartialPercent,FullyPercent,ObjectId
28/12/2020,Mon 28 Dec 2020,195,20,0,195,20,0,195,20,0.004141088,0.000424727,338
29/12/2020,Tue 29 Dec 2020,74,2,0,269,22,0,269,22,0.005712578,0.0004672,339
30/12/2020,Wed 30 Dec 2020,1056,1,0,1325,23,0,1325,23,0.028138165,0.000488436,340
31/12/2020,Thu 31 Dec 2020,1031,1,0,2356,24,0,2356,24,0.050032842,0.000509672,341
01/01/2021,Fri 01 Jan 2021,812,0,1,3168,24,1,3169,25,0.067297995,0.000530909,342
02/01/2021,Sat 02 Jan 2021,1014,0,0,4182,24,1,4183,25,0.088831655,0.000530909,343
03/01/2021,Sun 03 Jan 2021,19,2,1,4201,26,2,4203,28,0.089256382,0.000594618,344
04/01/2021,Mon 04 Jan 2021,1187,3,0,5388,29,2,5390,31,0.11446393,0.000658327,345
05/01/2021,Tue 05 Jan 2021,3522,9,0,8910,38,2,8912,40,0.189258357,0.000849454,346
06/01/2021,Wed 06 Jan 2021,6769,8,0,15679,46,2,15681,48,0.333007214,0.001019345,347
07/01/2021,Thu 07 Jan 2021,11716,8,0,27395,54,2,27397,56,0.581812297,0.001189236,348
08/01/2021,Fri 08 Jan 2021,12674,5,0,40069,59,2,40071,61,0.850961805,0.001295417,349
09/01/2021,Sat 09 Jan 2021,8073,6,0,48142,65,2,48144,67,1.022402863,0.001422835,350
10/01/2021,Sun 10 Jan 2021,4776,3,1,52918,68,3,52921,71,1.12384891,0.001507781,351
11/01/2021,Mon 11 Jan 2021,8337,7,0,61255,75,3,61258,78,1.300896365,0.001656435,352
12/01/2021,Tue 12 Jan 2021,8876,9,0,70131,84,3,70134,87,1.489390213,0.001847563,353
13/01/2021,Wed 13 Jan 2021,9874,5,0,80005,89,3,80008,92,1.699077939,0.001953744,354
14/01/2021,Thu 14 Jan 2021,8073,4,0,88078,93,3,88081,96,1.870518997,0.00203869,355
15/01/2021,Fri 15 Jan 2021,7680,2,0,95758,95,3,95761,98,2.03361417,0.002081162,356
16/01/2021,Sat 16 Jan 2021,5224,3,0,100982,98,3,100985,101,2.144552865,0.002144871,357
17/01/2021,Sun 17 Jan 2021,1108,4,0,102090,102,3,102093,105,2.168082742,0.002229817,358
18/01/2021,Mon 18 Jan 2021,8703,7,0,110793,109,3,110796,112,2.352902701,0.002378471,359
19/01/2021,Tue 19 Jan 2021,8370,18,0,119163,127,3,119166,130,2.530650956,0.002760726,360
20/01/2021,Wed 20 Jan 2021,8441,961,0,127604,1088,3,127607,1091,2.709906991,0.023168859,361
21/01/2021,Thu 21 Jan 2021,8985,962,0,136589,2050,3,136592,2053,2.900715601,0.043598228,362
22/01/2021,Fri 22 Jan 2021,6767,967,0,143356,3017,3,143359,3020,3.044421986,0.064133779,363
23/01/2021,Sat 23 Jan 2021,4177,459,0,147533,3476,3,147536,3479,3.133126222,0.073881264,364
24/01/2021,Sun 24 Jan 2021,1181,397,0,148714,3873,3,148717,3876,3.158206352,0.082312095,365
25/01/2021,Mon 25 Jan 2021,1347,1286,0,150061,5159,3,150064,5162,3.186811717,0.109622042,366
26/01/2021,Tue 26 Jan 2021,998,3496,0,151059,8655,3,151062,8658,3.208005595,0.183864324,367
27/01/2021,Wed 27 Jan 2021,2161,6698,0,153220,15353,3,153223,15356,3.253897348,0.3261054,368
28/01/2021,Thu 28 Jan 2021,984,11537,0,154204,26890,3,154207,26893,3.274793917,0.571109177,369
29/01/2021,Fri 29 Jan 2021,1566,11525,0,155770,38415,3,155773,38418,3.308050042,0.815858117,370
30/01/2021,Sat 30 Jan 2021,622,7793,0,156392,46208,3,156395,46211,3.321259052,0.981352998,371
31/01/2021,Sun 31 Jan 2021,216,4088,0,156608,50296,3,156611,50299,3.325846104,1.068167199,372
01/02/2021,Mon 01 Feb 2021,1009,8336,0,157617,58632,3,157620,58635,3.347273582,1.245193417,373
02/02/2021,Tue 02 Feb 2021,823,5107,0,158440,63739,3,158443,63742,3.364751098,1.35364746,374
03/02/2021,Wed 03 Feb 2021,1390,6861,0,159830,70600,3,159833,70603,3.394269626,1.499350061,375
04/02/2021,Thu 04 Feb 2021,1414,10541,1,161244,81141,4,161248,81145,3.424319062,1.72322367,376
05/02/2021,Fri 05 Feb 2021,3377,8611,0,164621,89752,4,164625,89756,3.496034218,1.906089885,377
06/02/2021,Sat 06 Feb 2021,890,3866,0,165511,93618,4,165515,93622,3.51493457,1.988189616,378
07/02/2021,Sun 07 Feb 2021,322,1298,1,165833,94916,5,165838,94921,3.521793911,2.015775635,379
08/02/2021,Mon 08 Feb 2021,1158,878,0,166991,95794,5,166996,95799,3.546385605,2.034421151,380
09/02/2021,Tue 09 Feb 2021,4242,537,2,171233,96331,7,171240,96338,3.636512677,2.045867544,381
10/02/2021,Wed 10 Feb 2021,8814,579,0,180047,96910,7,180054,96917,3.823689871,2.058163391,382
11/02/2021,Thu 11 Feb 2021,6173,442,0,186220,97352,7,186227,97359,3.954781863,2.067549858,383
12/02/2021,Fri 12 Feb 2021,4384,522,0,190604,97874,7,190611,97881,4.047882024,2.078635233,384
13/02/2021,Sat 13 Feb 2021,1203,1913,0,191807,99787,7,191814,99794,4.073429354,2.119260372,385
14/02/2021,Sun 14 Feb 2021,2691,25,0,194498,99812,7,194505,99819,4.130576374,2.119791281,386
15/02/2021,Mon 15 Feb 2021,1955,7883,0,196453,107695,7,196460,107702,4.172093439,2.287197432,387
16/02/2021,Tue 16 Feb 2021,5633,8159,0,202086,115854,7,202093,115861,4.291717802,2.460464817,388
17/02/2021,Wed 17 Feb 2021,9729,8462,0,211815,124316,7,211822,124323,4.498326257,2.640166816,389
18/02/2021,Thu 18 Feb 2021,8452,8348,0,220267,132664,7,220274,132671,4.677815892,2.817447871,390
19/02/2021,Fri 19 Feb 2021,9384,6582,0,229651,139246,7,229658,139253,4.877097806,2.95722553,391
20/02/2021,Sat 20 Feb 2021,5884,3567,2,235535,142813,9,235544,142822,5.002094966,3.033018066,392
21/02/2021,Sun 21 Feb 2021,1106,1021,4,236641,143834,13,236654,143847,5.025667315,3.054785325,393
22/02/2021,Mon 22 Feb 2021,3936,1118,1,240577,144952,14,240591,144966,5.109274827,3.078548801,394
23/02/2021,Tue 23 Feb 2021,13353,1061,0,253930,146013,14,253944,146027,5.392843817,3.101080569,395
24/02/2021,Wed 24 Feb 2021,16927,2101,3,270857,148114,17,270874,148131,5.752375233,3.145761851,396
25/02/2021,Thu 25 Feb 2021,18079,1748,2,288936,149862,19,288955,149881,6.136349688,3.182925464,397
26/02/2021,Fri 26 Feb 2021,16083,2764,0,305019,152626,19,305038,152645,6.477893915,3.241622738,398
