Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,Male,Female,Unknown,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,HospitalisedAged65to74,HospitalisedAged75to84,HospitalisedAged85up,Aged65to74,Aged75to84,Aged85up,Dose1,Dose2,SingleDose,Dose1Cum,Dose2Cum,SingleDoseCum,PartiallyVacc,FullyVacc,AdditionalDose,AdditionalDoseCum
29/02/2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/03/2020,4,6,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/03/2020,7,13,0,0,4,0,2,0,1,0,0,2,1,0,3,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/03/2020,5,18,0,0,7,1,2,0,2,0,0,4,1,0,4,4,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/03/2020,1,19,0,0,9,1,2,0,2,0,0,5,2,0,8,5,0,0,3,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2020,2,21,0,0,11,1,3,0,2,0,0,6,2,1,9,7,0,0,3,0,1,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/03/2020,3,24,0,0,13,2,3,0,2,0,0,6,2,1,11,7,0,0,3,0,1,7,3,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2020,10,34,0,0,18,2,5,0,2,0,0,7,4,3,13,12,0,0,3,0,1,8,5,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
11/03/2020,9,43,1,1,28,3,8,0,2,0,3,7,6,6,20,17,0,0,3,1,4,9,7,8,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0
